Rank,Feature,Avg_Importance,RF_Importance,GB_Importance
1,revenue_usd,0.5871321017109253,0.5768862892832648,0.5973779141385859
2,effective_price,0.26100664419888525,0.2634337103923073,0.2585795780054632
3,unit_price_usd_squared,0.10121243183359586,0.10915731157619811,0.09326755209099362
4,revenue_local_currency,0.016330171628306616,0.014444421402166115,0.018215921854447117
5,fx_rate_to_usd,0.011952118425951903,0.011578420082988648,0.012325816768915157
6,customer_rating,0.006774965218078568,0.007902789487594864,0.005647140948562272
7,revenue_usd_is_outlier,0.00438737955848716,0.0039243917685158605,0.0048503673484584595
8,sales_channel_Carrier Store,0.0017148504849471375,0.0017628617865137728,0.0016668391833805022
9,discount_ratio,0.001669303567482803,0.0020819371482558215,0.0012566699867097842
10,region_Europe/Asia,0.0010953594526097528,0.0011705708507552355,0.0010201480544642704
11,sales_channel_Authorized Reseller,0.0010678386765505781,0.000981310529326202,0.0011543668237749543
12,sales_channel_Online (Apple.com),0.0007361125786272597,0.0008564148712187125,0.0006158102860358069
13,sales_channel_Corporate / B2B,0.0006754441502244885,0.0006464370812464447,0.0007044512192025325
14,region_Asia,0.000665477533403091,0.0007929117236832892,0.0005380433431228928
15,region_Africa,0.0005018626446739985,0.00045054781990357226,0.0005531774694444246
16,region_South America,0.0004749811842577941,0.0005857448620508012,0.000364217506464787
17,region_Europe,0.00045939487784918794,0.0006630089895997656,0.00025578076609861027
18,region_Oceania,0.00040667568273640236,0.0005765239006590064,0.00023682746481379835
19,sales_channel_Third-Party Retailer,0.0003673478058360129,0.0005067975002530115,0.00022789811141901432
20,region_North America,0.00028489420937210337,0.0002742136354585558,0.0002955747832856509
21,fx_rate_to_usd_is_outlier,0.00023833248170337308,0.00030648296648163193,0.00017018199692511423
22,region_Middle East,0.00022825885733193096,0.00022382841194232308,0.00023268930272153884
23,category_Mac,0.00022557886790658518,0.0002326905074732936,0.00021846722833987679
24,revenue_local_currency_is_outlier,0.00015118732449340264,0.00013968495425818603,0.0001626896947286192
25,category_iPhone,8.94359146058909e-05,0.00013765468627940138,4.1217142932380404e-05
26,category_Accessories,6.206341165206384e-05,0.00012108564412736818,3.0411791767594977e-06
27,category_AirPods,4.454676563566893e-05,8.361206377127789e-05,5.481467500059974e-06
28,category_iPad,3.510250019265001e-05,5.8494835923995855e-05,1.1710164461304163e-05
29,category_Apple Watch,1.0138453677045789e-05,1.985123778256491e-05,4.256695715266695e-07
30,discount_pct_is_outlier,0.0,0.0,0.0
31,customer_rating_is_outlier,0.0,0.0,0.0
32,year_is_outlier,0.0,0.0,0.0
